loss,mean_squared_error,mean_absolute_error,r_square
28.547709,28.547709,4.5604515,-2.685433
22.874933,22.874933,4.297844,-4.1960807
22.429071,22.429071,4.3227696,-5.006111
32.26719,32.26719,4.619925,-1.9461973
30.922306,30.922306,4.7523212,-2.7217257
23.923986,23.923986,4.288888,-3.4006038
28.137207,28.137207,4.3106117,-1.9728127
20.289982,20.289982,3.7297761,-2.3838668
23.065985,23.065985,3.551382,-1.3122437
17.634312,17.634312,3.0574234,-1.4025459
16.543436,16.543436,2.7771826,-0.6942173
5.5524106,5.5524106,1.9763124,-0.4821868
5.715467,5.715467,2.0108244,-0.6991929
9.099342,9.099342,2.384172,-0.5654782
17.53032,17.53032,3.267719,-0.44254637
10.656735,10.656735,2.7290645,-0.67575204
11.400011,11.400011,2.5260253,-0.31119978
9.466758,9.466758,2.0237236,-0.10171151
11.069133,11.069133,2.33947,-0.5886184
9.957927,9.957927,2.0858912,-0.15089357
6.6951776,6.6951776,1.8248706,-0.021585703
5.7273927,5.7273927,1.4656262,-0.05407083
8.01041,8.01041,2.1346073,-0.077171445
5.033261,5.033261,1.6583426,-0.2512889
5.0332713,5.0332713,1.8221579,-0.45266902
7.178428,7.178428,2.082531,-0.44284022
5.351762,5.351762,1.7986495,-0.28311968
5.4840198,5.4840198,1.8140883,-0.31729674
9.936815,9.936815,2.3569756,-0.21889067
8.206869,8.206869,2.0692382,-0.05948484
7.4022484,7.4022484,1.59329,-0.18751407
6.7693305,6.7693305,2.169269,-0.1343143
8.063783,8.063783,2.1911144,-0.31653595
5.3508773,5.3508773,1.9321933,-0.88421535
4.5835366,4.5835366,1.8354585,-0.33074605
7.990386,7.990386,1.7763026,-0.29157937
7.9467015,7.9467015,2.0282423,-0.3279084
20.924212,20.924212,3.1995387,-0.63360727
20.012995,20.012995,2.8637507,-0.16142547
2.7013612,2.7013612,1.2199895,-0.57528126
12.645503,12.645503,2.4608266,-0.35393095
9.036387,9.036387,2.0441623,-0.24909031
7.948874,7.948874,2.0929284,0.1090579
12.786314,12.786314,2.549786,-0.060005307
8.561668,8.561668,2.1944165,-0.18235314
6.774428,6.774428,2.0128317,-0.57088184
5.1400566,5.1400566,1.78193,-0.56695986
10.169081,10.169081,2.136715,-0.21478522
8.34004,8.34004,2.2046611,0.108072996
4.5366993,4.5366993,1.5681536,-0.30824554
7.964181,7.964181,1.8930209,-0.22839606
10.803799,10.803799,2.4865975,-0.26519203
11.114605,11.114605,2.4204621,-0.15675938
9.346797,9.346797,2.2009363,-0.18822098
12.102734,12.102734,2.543104,0.059981883
3.5808,3.5808,1.4980252,-0.099472046
6.4652376,6.4652376,1.9610994,-0.15257716
5.36281,5.36281,1.7633125,-0.19277096
9.172218,9.172218,2.3596365,-0.0021715164
6.084365,6.084365,1.7230053,0.011049271
7.9276543,7.9276543,1.9055026,-0.30178285
8.184654,8.184654,2.114962,-0.07836926
5.6089773,5.6089773,1.9003793,-0.15263748
5.746453,5.746453,2.1298866,-0.5045686
12.503844,12.503844,2.3465967,-0.23180556
4.0768585,4.0768585,1.4294775,-0.27316356
9.402674,9.402674,2.194407,-0.16678846
7.8814,7.8814,1.8809061,0.008896768
9.747942,9.747942,2.2257404,-0.17282248
12.939243,12.939243,2.3754609,-0.20288563
4.513084,4.513084,1.6361237,0.0710758
8.932478,8.932478,2.3508914,-0.091510415
12.789132,12.789132,2.5883825,-0.08925152
7.9889407,7.9889407,2.5532517,-0.66003966
10.382933,10.382933,2.5084796,-0.57117236
6.094283,6.094283,2.0413618,-0.42641044
5.7658663,5.7658663,1.785243,-0.053013563
5.418244,5.418244,1.6720504,-0.19364142
5.4925575,5.4925575,1.6385798,-0.40750217
12.403988,12.403988,2.3094876,-0.29082155
7.9558654,7.9558654,2.0517828,-0.35984075
11.171891,11.171891,2.2000887,-0.4300021
10.349007,10.349007,2.1463213,-0.30397224
8.268316,8.268316,1.8828506,-0.06916988
11.625518,11.625518,2.3784237,-0.042884827
3.925066,3.925066,1.6613134,-0.06555343
