loss,mean_squared_error,mean_absolute_error,r_square
26.741852,26.741852,4.4370184,-2.7885523
18.392925,18.392925,3.5763178,-2.3783598
31390.104,31390.104,167.9769,-4163.2007
16.931465,16.931465,3.6127636,-3.5197654
30.596514,30.596514,4.841794,-3.2807527
19.503242,19.503242,3.8955991,-3.490965
31.521866,31.521866,4.983747,-3.708737
21.048883,21.048883,4.020981,-3.0768027
16.851147,16.851147,2.8300803,-0.18905556
267.5442,267.5442,14.426744,-28.782068
5.5674953,5.5674953,1.8712705,0.10006076
12.613451,12.613451,3.0633311,-2.4581456
34.364956,34.364956,4.9041696,-2.2786593
28.547298,28.547298,4.319524,-1.893441
20.171188,20.171188,4.0854487,-4.7890406
23.742447,23.742447,4.1924934,-2.8474863
29.158363,29.158363,4.6929336,-3.0840054
32.298454,32.298454,4.8689723,-2.7622132
16.753351,16.753351,3.6841278,-4.2834716
33.09077,33.09077,4.642704,-1.891454
27.394115,27.394115,4.393117,-2.3862355
18.928713,18.928713,3.4589872,-1.7929397
10.085355,10.085355,2.3127003,-0.4377563
35.209633,35.209633,4.893957,-3.7044187
8.516129,8.516129,2.144205,-0.44786906
7.054018,7.054018,1.8074632,-0.3856107
11.980549,11.980549,2.430896,-1.0963914
11.749744,11.749744,2.943491,-2.999913
24.465736,24.465736,3.6756454,-1.2186427
17.355679,17.355679,3.1875074,-1.3023987
17.030994,17.030994,3.4977198,-2.3136497
16.811317,16.811317,3.2023616,-1.6118629
17.234066,17.234066,3.1356132,-1.1587381
9.767828,9.767828,2.5055246,-1.352365
7.312275,7.312275,2.1573193,-0.6849166
15.407333,15.407333,3.049511,-0.37144554
11.579444,11.579444,2.7506142,-0.75197256
15.831683,15.831683,3.1478386,-1.6947546
17.14233,17.14233,2.7321234,-0.16660392
9.633743,9.633743,2.2386842,-0.26408935
8.606535,8.606535,1.9271686,-0.51142025
11.040308,11.040308,2.5449815,-0.503561
8.96829,8.96829,2.271254,-0.70856357
11.887019,11.887019,2.53021,-0.5559641
9.172489,9.172489,2.198937,-0.18369615
11.255094,11.255094,2.6428938,-0.39126217
9.370124,9.370124,2.4515293,-0.5546025
17.700485,17.700485,3.07911,-0.34870875
4.7558813,4.7558813,1.6535518,-0.071983814
12.470745,12.470745,2.630734,-0.90030396
10.323921,10.323921,2.2419825,-0.57410586
5.613223,5.613223,1.9186877,-0.96727
11.98733,11.98733,1.7947009,-0.33438706
11.80451,11.80451,2.3273492,-0.41759336
6.398889,6.398889,1.8746585,-0.7063705
9.884634,9.884634,2.118464,-0.44104004
4.7891912,4.7891912,1.7977952,-0.49197805
13.496059,13.496059,2.5535774,-0.34973776
8.209052,8.209052,2.2617507,-0.24074829
14.432808,14.432808,2.6330981,-0.7527509
9.779232,9.779232,2.509649,-0.98217213
7.483526,7.483526,2.025719,-0.1418761
10.101133,10.101133,2.3318388,-0.43044674
15.531908,15.531908,2.52177,-0.28803647
4.362417,4.362417,1.6123856,-0.33549023
9.291605,9.291605,2.1950119,-0.12638843
7.806398,7.806398,2.1964996,-0.49836016
9.080187,9.080187,2.0665727,-0.19084418
6.8763695,6.8763695,2.1438649,-1.1183522
13.374534,13.374534,2.7389016,-0.36355257
8.631893,8.631893,2.2636833,0.030379713
5.2858887,5.2858887,1.8571324,-0.25790143
5.5830555,5.5830555,1.6605406,-0.39712822
10.167523,10.167523,2.4309442,-0.7401879
7.3516455,7.3516455,1.6607311,-0.20333838
7.900985,7.900985,2.0133755,-0.048142076
14.819343,14.819343,2.637192,-0.28907633
7.6877713,7.6877713,1.7333747,-0.05079949
8.787155,8.787155,2.5542455,-0.1316874
10.79504,10.79504,2.967787,-0.48917162
7.0151396,7.0151396,2.0728245,-0.47717524
10.585947,10.585947,2.4917727,-0.32388985
6.405856,6.405856,1.9016612,-0.3806771
17.841259,17.841259,2.8295915,-0.42418528
6.346978,6.346978,2.1223125,-0.61553705
7.986034,7.986034,1.7067996,-0.052877426
5.9067593,5.9067593,1.9517188,-0.25618303
12.702098,12.702098,2.2529156,-0.28743422
6.7111206,6.7111206,1.8004196,-0.050311446
7.8341393,7.8341393,2.4031916,-0.99754953
9.792367,9.792367,2.1628823,-0.15008628
9.866629,9.866629,2.0627851,-0.20107317
5.379156,5.379156,1.6626099,-0.16923285
6.1284704,6.1284704,1.8133743,-0.72832656
7.3025217,7.3025217,1.7926878,-0.13506103
9.705371,9.705371,1.9060855,-0.08781743
9.409164,9.409164,2.3529892,-0.23970461
7.2515283,7.2515283,1.9540582,-0.5521666
10.838766,10.838766,2.5487041,-0.16206646
15.476694,15.476694,3.1728313,-0.6910088
10.004757,10.004757,2.3545341,0.046367764
7.7349505,7.7349505,2.1025975,0.10309261
9.244529,9.244529,2.1213145,-0.42566228
1.8203323,1.8203323,1.1073442,0.10915989
4.553017,4.553017,1.5154114,-0.22724128
10.924846,10.924846,2.1875944,-0.33496916
12.100733,12.100733,2.5547032,-0.24023128
8.625764,8.625764,2.0289955,-0.061760068
10.523394,10.523394,2.495017,-0.20820212
8.373318,8.373318,2.3103085,-0.41047502
5.478869,5.478869,1.7577076,-0.08580637
5.5660872,5.5660872,1.8514681,-0.5354724
16.901402,16.901402,2.6938066,-0.180884
5.4900274,5.4900274,1.770235,-0.18129611
10.932087,10.932087,2.4424694,-0.74913394
4.600305,4.600305,1.6292813,-0.41547847
10.764731,10.764731,2.116291,-0.35082448
10.636965,10.636965,2.1343942,-0.30916488
5.8399115,5.8399115,1.7594129,-0.23580682
13.236208,13.236208,2.4624887,0.04650885
6.4011936,6.4011936,2.0544047,-0.90602565
15.445467,15.445467,3.204389,-0.20586753
6.423499,6.423499,2.0537715,-0.32002068
