loss,mean_squared_error,mean_absolute_error,r_square
99.59406,99.59406,9.251753,-6.1138616
103.68863,103.68863,9.121655,-4.06184
72.893684,72.893684,7.3638372,-2.9039295
88.42954,88.42954,8.227331,-3.2616649
86.79469,86.79469,7.8934827,-2.5432055
78.931786,78.931786,7.7602167,-3.2081609
100.71363,100.71363,8.786707,-3.2815943
80.78117,80.78117,7.4922676,-2.2768152
50.67018,50.67018,5.8244343,-2.0166433
63.98995,63.98995,6.640119,-2.178545
67.04248,67.04248,7.101716,-3.0366611
83.46771,83.46771,8.30329,-4.614592
64.631805,64.631805,6.859021,-2.401674
71.88805,71.88805,7.369051,-3.2602787
58.44847,58.44847,6.5230913,-1.6916368
35.946037,35.946037,5.051702,-1.0327337
29.835842,29.835842,4.6541767,-0.4041041
31.429043,31.429043,4.96061,-0.39593756
39.956673,39.956673,5.3810835,-2.3167665
24.53688,24.53688,4.101899,-0.78260136
26.640741,26.640741,4.096163,-0.46509767
47.886196,47.886196,6.0789976,-1.1238506
23.47147,23.47147,4.086743,-0.9357914
27.102837,27.102837,4.4642515,-0.34054506
22.899057,22.899057,4.0404544,-0.27688062
24.300762,24.300762,3.9206355,-0.3058344
23.26247,23.26247,3.8802543,-0.2971449
41.6761,41.6761,5.459751,-1.1795878
23.135715,23.135715,4.1240726,-0.26879668
33.79934,33.79934,4.3021803,-0.46710706
29.05738,29.05738,4.170264,-0.47893822
29.352001,29.352001,4.342334,-0.20728028
27.715366,27.715366,4.52975,-0.3437754
25.288927,25.288927,4.0615196,-0.2990148
15.813355,15.813355,3.368452,0.021637619
24.368973,24.368973,4.1535034,-0.38540018
24.033981,24.033981,4.273197,-0.2665739
25.908424,25.908424,4.3291264,-0.2590872
26.15331,26.15331,4.2858367,-0.24824
34.788208,34.788208,4.9883122,-1.0332835
26.09098,26.09098,4.0839257,-0.5570351
20.675991,20.675991,3.7843952,-0.060519695
20.374462,20.374462,3.7956796,-0.031822443
15.060095,15.060095,3.1390188,-0.08062065
19.58642,19.58642,3.492863,-0.095324874
17.576382,17.576382,3.4306602,-0.1742816
27.998196,27.998196,4.4539094,-0.33947635
31.723553,31.723553,4.9026127,-0.37096083
28.957367,28.957367,4.417285,-0.25305712
10.412143,10.412143,2.4666188,0.10425657
24.524405,24.524405,4.4216623,-0.21630216
19.718578,19.718578,3.856894,0.008211374
24.20701,24.20701,4.1679735,-0.18585742
16.667278,16.667278,3.4613717,-0.3554076
19.320742,19.320742,3.8814824,0.071676075
25.408823,25.408823,4.154983,-0.39018142
18.570007,18.570007,3.8235111,0.013657987
24.327461,24.327461,4.019106,-0.06805527
30.601728,30.601728,5.0977116,-0.503078
18.155481,18.155481,3.7474108,-0.0734576
17.34954,17.34954,3.4243824,-0.26501918
22.110247,22.110247,4.157365,0.0062374473
15.788961,15.788961,3.3064303,-0.15493226
20.360523,20.360523,3.844742,-0.0062344074
25.52073,25.52073,4.3535204,-0.583544
21.692947,21.692947,3.9272327,-0.09843135
25.61783,25.61783,4.1953764,-0.39209604
18.614277,18.614277,3.561957,-0.2060883
22.376293,22.376293,3.964743,-0.41091895
17.625494,17.625494,3.544321,-0.065185666
21.84487,21.84487,4.042968,-0.040231943
19.279636,19.279636,3.5968173,-0.086714745
23.848454,23.848454,3.9169197,-0.18969238
20.285055,20.285055,3.802863,-0.16650176
25.82932,25.82932,4.28163,-0.36118698
21.360937,21.360937,4.0456266,-0.20988989
17.42331,17.42331,3.4827862,-0.49276006
21.050938,21.050938,3.9971888,-0.008616924
