loss,mean_squared_error,mean_absolute_error,r_square
72.362305,72.362305,7.5665236,-3.7855206
65.95537,65.95537,7.0439663,-2.9956396
57664.797,57664.797,225.2466,-3342.644
84.99207,84.99207,8.604084,-6.770704
82.23262,82.23262,8.193093,-4.4428415
79.774765,79.774765,8.081063,-4.5076427
81.01141,81.01141,7.6726575,-2.6512187
66.7871,66.7871,7.2817054,-3.8575888
67.35314,67.35314,7.140163,-3.0194426
37.811234,37.811234,4.5614557,-0.912318
247.48363,247.48363,14.00287,-19.412664
39.77307,39.77307,5.6027527,-2.4398332
54.93029,54.93029,6.5215187,-3.2304916
71.27559,71.27559,7.52151,-3.9368372
67.573456,67.573456,7.346021,-3.938283
64.60843,64.60843,6.911083,-2.8359733
87.180756,87.180756,8.220918,-3.4503036
77.07686,77.07686,7.677597,-3.2525163
76.06985,76.06985,7.7323895,-3.6554818
91.61523,91.61523,8.563123,-4.026737
68.93469,68.93469,7.2451115,-3.1959891
70.43581,70.43581,7.030469,-2.3497243
70.96921,70.96921,7.362748,-3.2451353
66.62543,66.62543,7.1686115,-3.1478868
41.488125,41.488125,5.360715,-1.0176597
45.829536,45.829536,5.6994867,-1.7083013
18.886616,18.886616,3.5122647,0.024370968
42.665142,42.665142,5.40757,-1.7665341
40.58694,40.58694,4.9408956,-1.2886028
39.385887,39.385887,5.1573257,-1.2517531
39.85746,39.85746,5.362657,-1.1091437
30.920595,30.920595,4.6873474,-0.72840714
29.321781,29.321781,4.5025616,-1.0331461
39.201843,39.201843,5.4169383,-0.9184997
23.942867,23.942867,3.8903189,-0.31032526
35.584534,35.584534,5.2913303,-0.4307587
43.799755,43.799755,5.8583474,-1.2680631
24.43663,24.43663,4.09981,-0.5992273
24.292557,24.292557,4.196227,-0.42121792
15.358772,15.358772,3.0918274,0.25303334
37.442547,37.442547,5.0129447,-0.61592984
20.791039,20.791039,3.3781095,-0.13923502
15.571,15.571,3.1981454,-0.03168583
25.566088,25.566088,3.8592653,-0.20333123
42.97688,42.97688,5.5922117,-1.2667177
31.95655,31.95655,4.509499,-0.836336
27.661274,27.661274,4.354644,-0.33565068
21.615128,21.615128,3.8188508,-0.31819963
23.965258,23.965258,4.1396284,-0.45874238
29.610178,29.610178,4.597655,-0.5052036
15.242397,15.242397,3.1920304,0.063582
15.11175,15.11175,3.004577,0.11387324
34.023834,34.023834,4.7714186,-0.79377055
32.002098,32.002098,4.2908936,-0.67879856
13.478939,13.478939,2.9549332,0.1540553
18.53702,18.53702,3.4613352,0.013773143
15.381796,15.381796,3.068295,-0.03953004
24.795528,24.795528,3.957559,-0.935851
19.740364,19.740364,3.550261,-0.0727092
11.465556,11.465556,2.8898091,0.029290676
28.035896,28.035896,4.0176096,-0.5603434
24.557554,24.557554,3.7414103,-0.7730336
25.701387,25.701387,4.17278,-0.48054802
24.398434,24.398434,4.031905,-0.4222119
20.727568,20.727568,3.7073066,-0.12665367
18.045303,18.045303,3.3399749,-0.061549425
19.457146,19.457146,3.3966675,-0.28717077
11.661064,11.661064,2.7012053,0.2918858
19.720013,19.720013,3.7561069,-0.107331276
20.804691,20.804691,3.5455437,-0.14809251
8.615712,8.615712,2.1472545,0.5069858
11.353107,11.353107,2.863007,0.35570925
16.292507,16.292507,3.2566805,0.28159463
14.245127,14.245127,3.01862,0.3134879
14.905911,14.905911,3.0356293,0.3274442
11.04723,11.04723,2.5421994,0.486152
7.4094977,7.4094977,2.145622,0.60217464
12.268698,12.268698,2.6193285,0.006001532
20.22144,20.22144,3.4769683,0.08953285
16.779606,16.779606,3.1560683,-0.014124751
9.840269,9.840269,2.4810233,0.32168055
17.424175,17.424175,3.2206075,0.04443252
17.540092,17.540092,3.2574055,-0.124886036
13.9188175,13.9188175,2.5318074,0.17703855
13.645748,13.645748,3.251834,0.23488772
8.5452,8.5452,2.391892,0.4568751
15.618183,15.618183,3.0558422,0.20653802
7.124508,7.124508,2.0538194,0.5240102
7.3642707,7.3642707,2.0035229,0.5068655
8.202385,8.202385,2.0801792,0.5002533
8.51914,8.51914,2.1330094,0.40068704
7.0181255,7.0181255,2.1359591,0.4697048
8.241184,8.241184,2.2637727,0.30600554
8.472736,8.472736,2.3284693,0.58270013
4.5291843,4.5291843,1.831172,0.7447785
8.582702,8.582702,2.2647321,0.4899491
8.235231,8.235231,2.1044984,0.41697478
13.391391,13.391391,2.5733576,0.15893131
14.915529,14.915529,3.2389085,0.22701037
11.984568,11.984568,2.6901798,0.24133301
16.107098,16.107098,3.350512,0.0029820204
12.480387,12.480387,2.7109222,0.12123251
9.645697,9.645697,2.1335397,0.3267539
6.9886107,6.9886107,1.9975506,0.59150994
20.018452,20.018452,3.7739136,-0.21273708
8.149254,8.149254,2.255025,0.50750494
20.962841,20.962841,3.5888317,0.024275064
7.9634886,7.9634886,1.9308498,0.53155947
8.369291,8.369291,2.1062589,0.3378541
13.902874,13.902874,2.7418675,-0.022813678
8.175928,8.175928,2.1699245,0.3974703
8.046924,8.046924,2.2329578,0.35765123
10.678594,10.678594,2.2569053,0.43186575
7.110198,7.110198,2.0241804,0.57070506
10.478738,10.478738,2.6428454,0.28460377
5.039251,5.039251,1.8512936,0.5756071
13.967262,13.967262,2.9894521,0.23841977
14.112062,14.112062,2.7039526,0.06594586
18.359102,18.359102,3.3022027,-0.5094116
7.137018,7.137018,2.0106328,0.61090845
5.4430876,5.4430876,1.879055,0.71539414
15.466572,15.466572,3.123672,-0.13809788
10.303162,10.303162,2.4468203,0.3808065
13.037569,13.037569,2.7013865,0.012466133
19.065529,19.065529,3.334362,0.06552261
9.147274,9.147274,2.3390841,0.37704122
8.43773,8.43773,2.31671,0.46976155
17.642954,17.642954,3.3256621,0.117809236
6.7015953,6.7015953,2.0036998,0.5465852
13.323705,13.323705,2.7259626,0.2857942
23.754864,23.754864,3.8015423,-0.46748197
9.648625,9.648625,2.4519224,0.16938275
13.222334,13.222334,2.9183748,0.18587756
9.361539,9.361539,2.2754333,0.49394417
11.403717,11.403717,2.5634112,0.3310377
4.7152157,4.7152157,1.588229,0.67189586
9.66225,9.66225,2.324818,0.40962207
9.906704,9.906704,2.542829,0.45611918
13.113913,13.113913,2.8920362,0.35919803
8.672274,8.672274,2.3543513,0.3231396
7.989156,7.989156,2.1180353,0.5948247
11.072868,11.072868,2.6634588,0.46596563
15.706559,15.706559,2.9272788,0.1785742
10.484904,10.484904,2.555666,0.3608821
7.3800497,7.3800497,1.9360954,0.60827434
14.519669,14.519669,2.851538,0.3309571
6.2800303,6.2800303,1.8721752,0.5739814
5.8886366,5.8886366,1.7223926,0.69892335
6.8855944,6.8855944,2.051835,0.5291901
8.70646,8.70646,2.2144847,0.45371228
10.885719,10.885719,2.4385154,0.47686428
11.914699,11.914699,2.6151097,0.3368851
10.880669,10.880669,2.5181332,0.47501272
10.599319,10.599319,2.3415575,0.3606066
8.174498,8.174498,2.1435287,0.54427886
12.110955,12.110955,2.343157,0.5249878
5.902297,5.902297,1.9138793,0.73051757
5.370246,5.370246,1.8894024,0.62550175
13.796719,13.796719,2.8318925,0.24462175
9.7813835,9.7813835,2.329056,0.3133989
8.316708,8.316708,2.1973925,0.4776553
5.5292454,5.5292454,1.7663741,0.737289
10.256093,10.256093,2.4212496,0.57868016
15.962212,15.962212,3.1260076,-0.10590696
11.243552,11.243552,2.5276284,0.3617497
11.798862,11.798862,2.6835997,0.3202793
8.45524,8.45524,2.2818446,0.39537948
10.567123,10.567123,2.40899,0.24499482
11.011721,11.011721,2.609106,0.39816386
21.529078,21.529078,3.5528383,-0.4063393
6.9541006,6.9541006,1.8409935,0.6321608
12.612576,12.612576,2.4175704,0.32676828
9.442987,9.442987,2.4959526,0.47192293
8.935013,8.935013,2.308211,0.24757785
6.0735016,6.0735016,1.9789869,0.6045485
12.102156,12.102156,2.8799171,0.21744078
11.680814,11.680814,2.623507,0.25522083
11.527576,11.527576,2.5249207,0.25996876
9.163489,9.163489,2.4948788,0.29080093
10.909483,10.909483,2.3579478,0.44663608
20.539772,20.539772,3.3185992,-0.068953395
10.865453,10.865453,2.6065488,0.44357753
8.6081705,8.6081705,2.335544,0.47518653
9.298013,9.298013,2.1897624,0.44163942
7.3138785,7.3138785,1.9269819,0.38871926
9.823496,9.823496,2.4776082,0.55339813
14.016687,14.016687,2.6968646,-0.08415198
9.751988,9.751988,2.2028394,0.48967516
7.117779,7.117779,1.9662901,0.6225867
9.469593,9.469593,2.2434692,0.4799773
5.0992475,5.0992475,1.7729433,0.6399621
10.504262,10.504262,2.2837915,0.36663932
8.914593,8.914593,2.2377236,0.52807
7.7512197,7.7512197,2.1870246,0.6265702
7.41419,7.41419,2.240073,0.5682119
17.290733,17.290733,3.4323468,-0.28227913
8.015936,8.015936,2.1443105,0.56595004
9.047272,9.047272,2.0660977,0.31063277
15.253944,15.253944,3.2027938,-0.47917032
13.679544,13.679544,2.6708863,-0.05258894
11.066217,11.066217,2.7570114,0.26359457
11.761442,11.761442,2.6974912,0.28970766
14.266035,14.266035,2.902279,0.225223
13.294975,13.294975,2.514979,0.20011431
12.344511,12.344511,2.7243767,0.11074364
10.441697,10.441697,2.2734969,0.34767264
9.534542,9.534542,2.4117663,0.46845758
9.338034,9.338034,2.4918122,0.45057768
9.16275,9.16275,2.3366463,0.4070242
6.3053613,6.3053613,1.6945181,0.64025575
9.241217,9.241217,2.257683,0.51748896
10.680004,10.680004,2.469118,0.23026997
15.634617,15.634617,2.9057608,0.2995035
6.1401553,6.1401553,1.9167297,0.6360547
9.83021,9.83021,2.1320987,0.45924604
8.965481,8.965481,2.447569,0.43409652
11.968983,11.968983,2.642712,0.15304828
9.535563,9.535563,2.279712,0.443147
8.341028,8.341028,2.0373304,0.5928102
10.936821,10.936821,2.4185276,0.35125387
13.509268,13.509268,2.848241,0.2136041
11.657494,11.657494,2.5429754,0.38081467
14.523677,14.523677,2.8869252,-0.034015536
5.909267,5.909267,1.8420188,0.68582094
15.201636,15.201636,2.910377,-0.037280917
4.914019,4.914019,1.6508243,0.64936554
4.1073456,4.1073456,1.6249449,0.73378557
8.159315,8.159315,2.1174104,0.48791748
10.822405,10.822405,2.5420403,0.19078916
6.959663,6.959663,2.161696,0.48669732
