loss,mean_squared_error,mean_absolute_error,r_square
16.58088,16.58088,3.3727326,-1.4314506
17.319328,17.319328,3.2486267,-0.7238523
13.676735,13.676735,2.800254,-0.44336557
10.61006,10.61006,2.7200825,-0.41541183
12.133688,12.133688,2.8116608,-0.27631187
7.6632338,7.6632338,2.2162666,-0.28074932
9.412279,9.412279,2.3468132,-0.83409584
4.8665195,4.8665195,1.9291289,-0.27941358
10.134748,10.134748,2.5509372,-0.57265985
9.130652,9.130652,2.549572,-0.17829716
9.471947,9.471947,2.2917953,-0.17709625
6.310473,6.310473,2.06487,-0.2710315
6.6464863,6.6464863,2.3031032,-1.7541947
7.926735,7.926735,2.3181975,-0.068023205
12.582838,12.582838,2.3598678,-0.0723058
11.181744,11.181744,2.3155189,-0.087999344
5.7679777,5.7679777,1.8730993,-0.44800425
7.9819083,7.9819083,2.0395525,-0.115985036
4.345522,4.345522,1.7342663,-0.23093069
4.566009,4.566009,1.7648925,-0.2873329
6.5609436,6.5609436,1.9967412,-0.100836635
5.2526207,5.2526207,1.9779017,-0.26497734
7.135117,7.135117,2.0818715,-0.16808307
7.4836264,7.4836264,1.6791945,-0.0825305
8.626042,8.626042,2.1319644,-0.00012087822
12.881012,12.881012,2.3430173,-0.21742034
7.3059263,7.3059263,2.0478973,-0.29254818
9.203944,9.203944,2.3606188,-0.15274453
4.6102304,4.6102304,1.7286587,0.015663862
5.378974,5.378974,1.9483789,-0.86650944
13.561255,13.561255,2.701241,-0.08625829
6.247904,6.247904,1.971792,0.1528266
4.730298,4.730298,1.7619928,-0.34588087
3.2443805,3.2443805,1.3729017,-0.07620525
12.099227,12.099227,2.3175585,-0.14053285
8.475911,8.475911,2.2585373,-0.17051017
6.2834187,6.2834187,2.1112475,-0.08101821
8.821761,8.821761,2.18547,0.012949824
7.9612274,7.9612274,2.0300367,0.021276474
8.252057,8.252057,2.0092335,-0.051138997
3.527512,3.527512,1.5247447,-0.93061054
5.2101107,5.2101107,1.793157,0.041129887
6.647479,6.647479,1.6894373,-0.13223863
7.346253,7.346253,2.2256784,0.032467782
8.5839815,8.5839815,2.1047425,0.059289694
9.271946,9.271946,2.190669,-0.0889405
11.00021,11.00021,2.2991447,-0.029635668
6.2623005,6.2623005,2.1694183,-0.009698629
8.464251,8.464251,2.2207289,0.13187176
6.68847,6.68847,2.164235,-3.1584659
9.565786,9.565786,2.2622712,-0.40415215
8.294746,8.294746,1.8649071,-0.15896559
10.11532,10.11532,2.14323,0.0077509284
4.976697,4.976697,1.7100215,-0.5541743
11.976339,11.976339,2.455192,-0.12480712
4.0716295,4.0716295,1.7040186,-0.27464032
4.7230577,4.7230577,1.7378275,-0.40104616
7.4919744,7.4919744,2.0788298,0.043776453
8.424774,8.424774,2.1134205,-0.14294767
6.205491,6.205491,2.142968,-0.10319841
11.805128,11.805128,2.3574967,-0.07405162
10.341233,10.341233,2.3871324,0.05687362
5.188586,5.188586,1.939069,-0.44417298
6.568943,6.568943,2.007462,0.06988418
5.440542,5.440542,1.8519753,-0.42722094
7.9391894,7.9391894,1.9355165,-0.00033593178
3.54385,3.54385,1.5952122,0.114037514
8.471479,8.471479,2.2336538,0.090215504
6.027843,6.027843,2.0258312,-0.26511812
4.3518314,4.3518314,1.7289729,-0.9109243
4.0268707,4.0268707,1.639789,-0.047907352
5.709608,5.709608,1.7678944,-0.13858593
8.831258,8.831258,2.0625582,-0.09534979
15.1680155,15.1680155,2.912827,-0.25908303
6.761298,6.761298,2.1783357,-0.026018023
7.850134,7.850134,2.1478715,-0.03924203
6.7750015,6.7750015,1.7125833,0.12580627
12.586326,12.586326,2.3423164,-0.05175793
7.6562424,7.6562424,2.1616392,-0.024166226
9.410053,9.410053,2.226728,0.022332132
5.096255,5.096255,1.876862,-0.16097105
6.3439636,6.3439636,2.1027594,-0.47139728
10.282652,10.282652,2.5076642,0.044082105
7.0714955,7.0714955,1.9254051,0.016139746
5.355522,5.355522,1.9868718,-0.57406855
4.1225147,4.1225147,1.7657294,-0.25043106
13.085451,13.085451,2.513322,-0.063115
9.099327,9.099327,1.9170294,-0.08295107
6.0850677,6.0850677,2.0032845,-0.33371353
4.570777,4.570777,1.7210151,-0.16342914
10.178219,10.178219,2.2294207,-0.073492646
6.144601,6.144601,2.053096,-0.048678517
6.814064,6.814064,1.8945338,0.08080602
7.0446844,7.0446844,1.9032916,-0.08526504
6.090516,6.090516,1.916911,0.017998993
11.318182,11.318182,2.350019,-0.016026855
7.000842,7.000842,1.917505,0.043514013
4.8249884,4.8249884,1.7170457,-0.019139409
6.657567,6.657567,1.8247861,0.05524546
6.36123,6.36123,1.8914609,-0.15351498
4.730651,4.730651,1.7815194,-0.0196141
15.10314,15.10314,2.7130218,-0.013474107
4.321555,4.321555,1.6939378,-0.111039996
6.4024777,6.4024777,2.1261091,-0.25967443
8.003237,8.003237,1.972057,-0.024542332
3.8923972,3.8923972,1.7252383,-0.88811684
8.864141,8.864141,2.426952,-0.12129474
11.778247,11.778247,2.2244248,-0.123514175
5.2319517,5.2319517,1.7907811,0.067284346
11.336295,11.336295,2.3415594,-0.026199222
4.1820574,4.1820574,1.574539,0.056734204
4.657301,4.657301,1.655412,0.019313991
4.7012,4.7012,1.7733483,-0.09235966
13.660469,13.660469,2.421844,-0.019631147
5.418146,5.418146,1.7935686,0.15100509
7.772733,7.772733,2.18359,-0.29062414
6.107767,6.107767,1.9431118,-0.3629135
13.28503,13.28503,2.68515,0.017912865
5.183004,5.183004,1.9025477,-0.36087072
2.6101122,2.6101122,1.2474003,-0.2017783
7.768648,7.768648,2.3046017,-0.006974101
5.115651,5.115651,1.6892792,0.0670656
4.3794365,4.3794365,1.7275884,-0.06168163
11.557671,11.557671,2.1550226,-0.018945694
6.6703844,6.6703844,1.8270302,-0.04012084
7.573546,7.573546,2.0766885,0.10062498
6.0907583,6.0907583,1.9258113,-0.21152616
8.108262,8.108262,1.7316047,-0.014027834
5.4161835,5.4161835,1.900296,-0.100430965
7.5723176,7.5723176,1.9501246,0.11899006
8.964119,8.964119,2.1122155,-0.122844934
5.0596857,5.0596857,1.7945571,-0.17752683
3.383608,3.383608,1.5259533,-0.31691933
5.7125177,5.7125177,1.8874764,0.006349921
10.004922,10.004922,2.263473,-0.08081448
11.423985,11.423985,2.6391196,-0.18127441
3.0281153,3.0281153,1.4907787,0.0566504
6.693623,6.693623,1.6963828,0.14620453
6.668528,6.668528,2.050032,0.009777725
4.313917,4.313917,1.6996173,-0.23254776
11.227505,11.227505,2.5131173,-0.009302497
7.920576,7.920576,2.0383897,-0.030318856
8.043956,8.043956,1.8954403,0.08544171
8.156492,8.156492,2.2298458,-0.17191637
8.651638,8.651638,2.1187744,0.08327013
5.4959397,5.4959397,1.5080576,0.065608144
7.9018383,7.9018383,2.298597,-0.07271409
6.5216117,6.5216117,1.9819564,-0.13496435
3.4861329,3.4861329,1.4351201,-0.20114398
7.2752194,7.2752194,1.9068208,-0.04164219
5.9505343,5.9505343,2.143405,-0.13343513
8.23617,8.23617,2.1283958,-0.131755
10.331546,10.331546,2.238495,0.09142023
8.611662,8.611662,2.1894417,0.0717535
7.8179827,7.8179827,2.0844955,0.015904844
3.5873938,3.5873938,1.5200912,-0.07444215
7.582524,7.582524,2.2916873,-0.15818977
6.778961,6.778961,1.7346905,0.13478047
7.195958,7.195958,1.8167253,0.061914563
4.7642717,4.7642717,1.7927184,0.028164506
3.5928397,3.5928397,1.5482267,-0.9171797
6.4470196,6.4470196,1.7801349,0.11027652
5.0242615,5.0242615,1.7504054,-0.086556196
3.222299,3.222299,1.5020905,0.20605528
9.473311,9.473311,2.2934802,-0.10637212
10.241797,10.241797,2.3246398,0.043712914
5.6688294,5.6688294,1.6102496,0.013446391
12.050225,12.050225,2.243754,-0.020462394
6.029959,6.029959,2.0896132,0.18591344
6.39964,6.39964,2.0743728,-0.2265079
9.417897,9.417897,2.2203047,0.093530715
5.508883,5.508883,1.8552078,-0.14563286
10.495723,10.495723,2.2539535,-0.037014723
6.551442,6.551442,1.9635214,-0.06843078
9.722292,9.722292,2.508114,-0.058208704
9.204285,9.204285,2.3101325,0.16257775
5.50253,5.50253,1.7755635,-0.026711106
3.6947408,3.6947408,1.5498593,0.020601988
3.8877313,3.8877313,1.6018794,-0.40622985
6.67534,6.67534,1.9334435,0.10423952
8.41049,8.41049,2.0542672,0.07034308
2.1405137,2.1405137,1.1729013,-0.33334434
8.20648,8.20648,2.023838,-0.018351316
7.736831,7.736831,2.1216688,-0.15572798
9.837834,9.837834,2.0855067,0.040119827
9.924588,9.924588,2.1759958,0.04260212
11.473618,11.473618,2.6847417,0.08375698
2.9676774,2.9676774,1.4380727,0.04766482
5.541691,5.541691,1.699733,0.1379779
6.717951,6.717951,2.1414082,-0.50364625
4.391231,4.391231,1.6919228,-0.19084227
3.6571472,3.6571472,1.526751,-0.13105369
3.7728844,3.7728844,1.5046134,-0.027508974
5.0534754,5.0534754,1.7063723,0.109029114
14.520849,14.520849,2.5543082,0.054856002
9.542568,9.542568,2.1225653,0.0016765594
12.456998,12.456998,2.440236,0.041769385
3.178019,3.178019,1.4036212,-0.12100983
5.600198,5.600198,1.8287783,-0.12355065
6.2087345,6.2087345,1.6821842,-0.11480701
6.41624,6.41624,2.1201773,-0.17012107
3.1666913,3.1666913,1.4678055,-0.32085204
7.756238,7.756238,2.1091473,0.02463615
5.266298,5.266298,1.4877298,0.13133234
10.687425,10.687425,2.337702,0.15110743
9.855508,9.855508,2.2062051,-0.07316458
3.6304517,3.6304517,1.4503897,-0.08701241
6.3370347,6.3370347,1.8621157,0.009646535
8.936089,8.936089,2.5546486,0.20540512
7.56938,7.56938,2.1002512,0.0122282505
8.32029,8.32029,2.1932993,-0.05654466
6.287588,6.287588,1.9846727,-0.07093978
5.485133,5.485133,1.9501665,-0.269902
4.510707,4.510707,1.592617,-0.031248927
5.355224,5.355224,1.8959482,0.04779482
3.0552554,3.0552554,1.4309583,-0.55496097
7.2743607,7.2743607,1.7433399,-0.048704147
6.826762,6.826762,1.7880459,-0.107685685
10.706481,10.706481,2.0411346,-0.08174014
7.8448043,7.8448043,1.9433932,0.022739708
11.191188,11.191188,2.2573166,0.041151464
7.6034613,7.6034613,1.9668694,0.056935012
5.6968527,5.6968527,1.8173908,0.059707105
8.301341,8.301341,2.0428112,0.08230883
5.67988,5.67988,1.8612063,-0.053849816
7.2771416,7.2771416,2.0927925,-0.070813775
5.7162867,5.7162867,1.9122986,-0.05145991
7.350853,7.350853,2.047878,0.16650718
10.00797,10.00797,2.3483143,-0.050446987
5.8154907,5.8154907,2.0358706,-0.13820004
8.734175,8.734175,1.9598749,0.12074369
4.3228493,4.3228493,1.6504852,-0.09596372
8.577718,8.577718,2.0439413,-0.12725651
4.791607,4.791607,1.766608,-0.018953443
7.9794984,7.9794984,1.9228137,0.04888761
6.752715,6.752715,1.7559713,0.043334246
8.133663,8.133663,2.1121829,0.15184611
5.0622435,5.0622435,1.8840349,-0.07301533
5.1038356,5.1038356,1.790057,0.006967962
11.55054,11.55054,2.5131643,0.14736497
3.934336,3.934336,1.6345336,-0.05354607
6.0621886,6.0621886,2.0548446,-0.06606233
6.98075,6.98075,2.0390182,-0.16668653
6.8796167,6.8796167,1.7262995,0.025895
3.7029085,3.7029085,1.527055,-0.2489388
7.589384,7.589384,1.9663904,-0.021628618
9.503592,9.503592,2.1091,0.0061066747
8.807789,8.807789,2.0938988,-0.08001149
5.0835776,5.0835776,1.7206492,-0.09269178
3.8741374,3.8741374,1.4889138,0.14630586
4.393503,4.393503,1.650655,0.01834011
7.9107146,7.9107146,1.9777387,0.1113897
14.025668,14.025668,2.6642258,-0.038938403
7.7153463,7.7153463,2.0411484,-0.09243846
3.998084,3.998084,1.610435,-0.04680085
5.5700493,5.5700493,1.9616883,0.091618
6.256323,6.256323,2.0152597,-0.032137036
10.389374,10.389374,2.343339,0.11550391
3.8591232,3.8591232,1.5575309,0.011075556
6.0476103,6.0476103,1.7381688,0.10323423
3.1821318,3.1821318,1.4445388,-0.10121763
4.280288,4.280288,1.5524306,0.1648218
2.9915638,2.9915638,1.3979068,-0.05342555
4.5321383,4.5321383,1.7228701,-0.088648796
5.9848814,5.9848814,1.6848439,0.056425154
3.6101394,3.6101394,1.4965851,0.22450542
11.2329235,11.2329235,2.479069,-0.09631276
8.734199,8.734199,1.9399226,-0.035643697
6.9366035,6.9366035,2.1055121,-0.03724909
12.730137,12.730137,2.4550977,0.06541008
10.326548,10.326548,2.2675068,0.13833243
4.623576,4.623576,1.7513741,-0.3273176
9.047376,9.047376,2.2091432,0.14557463
4.039964,4.039964,1.6120931,-0.39056242
5.554625,5.554625,1.911618,-0.23436117
6.83521,6.83521,2.0628734,-0.12239492
4.442442,4.442442,1.6480522,0.22410703
8.198476,8.198476,2.0843878,-0.029332876
9.734661,9.734661,2.3457212,-0.004969597
13.966513,13.966513,2.4996698,-0.014665365
6.7459927,6.7459927,1.8445637,-0.046809554
3.747158,3.747158,1.5452466,0.14043689
7.3016663,7.3016663,2.014629,-0.037450552
3.537695,3.537695,1.6182054,-0.053081274
8.131532,8.131532,1.9276524,0.17385769
6.9364376,6.9364376,2.2304482,0.17654264
8.366337,8.366337,2.1184893,0.099996984
7.199958,7.199958,1.8351568,0.27597398
5.838417,5.838417,1.6862178,-0.040832043
13.02996,13.02996,2.496189,0.08561689
4.341753,4.341753,1.707505,-0.054793596
4.383073,4.383073,1.714395,-0.9221698
3.7968187,3.7968187,1.5287054,-0.010642648
8.247828,8.247828,2.1038775,0.058966517
4.2372084,4.2372084,1.7012815,0.19035244
5.6684785,5.6684785,1.8275284,-0.019768476
8.3142185,8.3142185,2.0847886,0.102586746
5.7870574,5.7870574,1.6835712,0.10049379
4.8545327,4.8545327,1.6548222,-0.02871883
6.17027,6.17027,1.718555,-0.01777649
5.071496,5.071496,1.630903,0.11665046
2.387296,2.387296,1.3042158,-0.10916114
6.869784,6.869784,1.6926589,0.026075244
6.7315927,6.7315927,1.7728037,-0.0024943352
10.361334,10.361334,2.250019,0.14648813
7.6549697,7.6549697,2.1417456,0.06815398
7.3030677,7.3030677,2.2657776,-0.012228131
4.2646303,4.2646303,1.5867949,0.025227368
8.333453,8.333453,2.096023,0.027526379
9.486452,9.486452,2.2980683,0.26801848
5.0688,5.0688,1.7774413,0.09636992
3.6400282,3.6400282,1.6439818,-0.014262319
5.572219,5.572219,1.556142,0.21057665
7.3735857,7.3735857,1.8693032,0.19158977
8.73904,8.73904,2.068753,0.084617674
8.784859,8.784859,2.280687,-0.058940053
8.387578,8.387578,2.1758537,-0.009506345
6.299184,6.299184,1.7250538,-0.10754883
5.0560217,5.0560217,1.7967811,0.04950136
5.574183,5.574183,1.6678574,0.12076968
6.266179,6.266179,1.7838426,0.08855575
5.531764,5.531764,1.8632319,0.20575905
6.408639,6.408639,2.0849185,-0.00052547455
4.835129,4.835129,1.7888448,-0.059754252
5.7845454,5.7845454,1.7756349,0.102941394
12.269716,12.269716,2.4187877,0.06405026
3.0040355,3.0040355,1.4253274,-0.20161414
7.7230926,7.7230926,1.9882458,0.052085996
4.371283,4.371283,1.662917,0.10260749
4.896268,4.896268,1.845314,-0.020720363
7.8911695,7.8911695,1.7532985,-0.01731813
6.779222,6.779222,1.8471851,0.072431386
5.6336613,5.6336613,1.7581646,0.035789907
7.2493973,7.2493973,1.8792956,0.165537
5.2210274,5.2210274,1.8055152,0.02225089
11.10448,11.10448,2.114524,0.10464668
5.067601,5.067601,1.8022139,-0.040341496
3.4086683,3.4086683,1.5768616,-0.6817486
7.086582,7.086582,1.8732886,-0.0084296465
3.7969272,3.7969272,1.7057967,-0.8629868
6.1085076,6.1085076,1.918629,0.073042095
8.648048,8.648048,2.0105464,-0.028883696
4.5161085,4.5161085,1.8071344,-0.08888507
3.9807198,3.9807198,1.6709495,0.0026285648
4.564681,4.564681,1.7225785,-0.075030684
2.8829684,2.8829684,1.303365,0.14578712
10.740675,10.740675,2.0244803,0.09283644
5.8838806,5.8838806,2.0651522,0.054887235
12.061636,12.061636,2.5274632,0.067065835
3.0088415,3.0088415,1.3810349,-0.10037637
18.209848,18.209848,2.869571,-0.054254413
8.028893,8.028893,2.097219,0.20938677
4.4754114,4.4754114,1.7031374,-0.022951126
6.9554253,6.9554253,2.274529,-0.40452683
6.3286505,6.3286505,2.1020298,-1.7945399
4.794545,4.794545,1.9213653,-0.1986363
6.5190353,6.5190353,1.9724845,0.049481392
4.866278,4.866278,1.7315338,0.10745674
10.493565,10.493565,2.5124931,-0.08946669
2.9080653,2.9080653,1.2513971,-0.29472125
3.5937064,3.5937064,1.5041105,-0.046631217
10.700163,10.700163,2.0224683,-0.019063115
9.050821,9.050821,2.0606146,-0.07083082
21.519875,21.519875,3.0742867,-0.064882874
3.8103135,3.8103135,1.4322307,0.035888076
4.1591744,4.1591744,1.7588131,0.06907219
8.292276,8.292276,1.9256264,-0.0052434206
3.9689145,3.9689145,1.6395698,-0.28450334
8.896565,8.896565,2.2290757,-0.03160262
5.303177,5.303177,1.9682832,-0.15051973
9.349759,9.349759,2.1558332,-0.0321424
7.974369,7.974369,2.0445027,0.09740752
5.4240103,5.4240103,1.8853517,-0.10928428
14.4546995,14.4546995,2.5902655,0.102715075
7.6043086,7.6043086,2.2424269,0.11983585
3.7859247,3.7859247,1.56724,-0.21796632
4.381665,4.381665,1.7695282,0.068222284
6.4549794,6.4549794,1.762088,-0.034251094
7.5450387,7.5450387,2.2910867,0.04178101
8.78224,8.78224,2.1340146,0.18593162
4.7560053,4.7560053,1.4042916,0.29120225
4.04513,4.04513,1.5717614,0.015633821
7.4344206,7.4344206,1.7814529,0.08664107
6.032837,6.032837,1.7844673,0.05309242
7.9941216,7.9941216,1.8616594,0.052548528
9.213805,9.213805,2.251445,0.047264814
10.0785475,10.0785475,2.3230848,0.110844076
3.441362,3.441362,1.3717802,-0.060154796
4.113544,4.113544,1.730403,-0.33131135
3.6930583,3.6930583,1.426629,-0.033800125
7.941284,7.941284,2.1603386,0.13333952
8.650455,8.650455,2.193794,-0.0047715902
4.5562944,4.5562944,1.5477536,0.1417135
12.518381,12.518381,2.2248833,0.027403474
