loss,mean_squared_error,mean_absolute_error,r_square
12.6585655,12.6585655,2.9366436,-1.2987003
12.951197,12.951197,2.3557172,-0.8187089
3.6248507,3.6248507,1.5021989,-0.11033416
7.5765247,7.5765247,2.1835675,-0.3584944
6.1793737,6.1793737,1.8821449,0.0036720634
4.4768233,4.4768233,1.9063475,-1.6422288
7.987375,7.987375,2.5866592,-3.1225162
4.857176,4.857176,1.9544363,-0.54081416
4.978828,4.978828,1.7566911,-0.018238425
6.7515774,6.7515774,2.0978813,-0.23105681
4.7788057,4.7788057,1.5956714,0.05146402
5.2323885,5.2323885,1.6033703,-0.11833978
4.9931483,4.9931483,1.6220978,-0.12299442
2.8594117,2.8594117,1.3361356,-0.27305984
7.041518,7.041518,1.7094412,-0.12664294
4.698169,4.698169,1.6389954,0.040692866
6.020811,6.020811,1.7800825,-0.207937
3.9980106,3.9980106,1.5442154,-0.2515937
3.826207,3.826207,1.4466461,0.0043110847
4.1780963,4.1780963,1.5885427,-0.07066333
4.7885456,4.7885456,1.5971203,0.047499835
6.0666533,6.0666533,1.8543662,0.045883417
5.230866,5.230866,1.5613606,0.11067462
4.9447784,4.9447784,1.7119927,-0.17318189
3.1548834,3.1548834,1.4490838,0.15073591
7.6202254,7.6202254,2.0565493,-0.25235617
3.6072047,3.6072047,1.5200232,0.13128465
4.2261877,4.2261877,1.5260992,0.12111777
2.729558,2.729558,1.4088992,-0.63263285
3.2322187,3.2322187,1.3082322,-0.23869455
7.7471447,7.7471447,1.8303411,-0.009939671
4.587042,4.587042,1.7072802,-0.15835536
4.4584002,4.4584002,1.6692691,-0.108376265
5.555979,5.555979,1.9021723,0.10531181
7.9735985,7.9735985,1.9794532,0.08217573
2.3622909,2.3622909,1.2152748,0.05766034
4.5052013,4.5052013,1.5837923,-0.19671237
4.3890047,4.3890047,1.7048018,0.11598331
4.7978053,4.7978053,1.6881152,-0.065200806
7.1430902,7.1430902,1.8328859,-0.096465945
4.703327,4.703327,1.4724307,0.07947111
5.0357513,5.0357513,1.8154614,0.031986237
6.203186,6.203186,2.1322296,0.0074902177
2.214628,2.214628,1.3122456,0.11380261
6.6420965,6.6420965,1.9255081,0.006208837
3.4594154,3.4594154,1.4820282,0.24548638
2.806378,2.806378,1.2513623,0.11848742
3.2630274,3.2630274,1.284833,-0.028737664
4.2563205,4.2563205,1.482104,0.04082918
3.8876636,3.8876636,1.5451617,0.0037618876
2.87989,2.87989,1.3268744,0.018306494
4.239722,4.239722,1.4097737,0.02284503
4.683053,4.683053,1.5546694,0.08343917
1.8059914,1.8059914,1.07721,-0.15873134
3.7929196,3.7929196,1.6033959,0.120482385
4.8732414,4.8732414,1.444494,-0.07640195
7.2986183,7.2986183,2.1680555,-0.13999164
3.822217,3.822217,1.5673984,-0.0259372
2.0565474,2.0565474,1.18122,0.085978925
8.498181,8.498181,1.9809065,-0.075400114
4.5482435,4.5482435,1.605449,0.13302284
5.968504,5.968504,1.8415802,-0.05012858
5.874343,5.874343,1.8579416,0.15277082
3.3212113,3.3212113,1.4531047,-0.15246367
